Forecast Date,Quarter being forecasted,PCE,PCE Goods,PCE Services,GPDI,Fixed Investment,Business Fixed Investment,Equipment,Intellectual Property Products,Structures,Residential,Government,Federal Govt,S&L,Imports,Goods imports,Services imports,Exports,Goods exports,Services exports,"Net Exports (current, $Bil 2009)","Net Exports (previous, $Bil 2009)",Change in net exports ($Bil 2009),Previous change in private inventories ($Bil 2009),Current change in private inventories ($Bil 2009),Change in inventory investment ($Bil 2009),GDP Nowcast,Final Sales,Final Sales to Domestic Purchasers,Final Sales to Private Domestic Purchasers,Advance Estimate From BEA,Publication Date of Advance Estimate,Days until advance estimate,Forecast Error,Data releases
2023-12-12,2023-12-31,2.657708387489799,2.6859012834159257,2.6436885074164085,0.4259809693931249,2.6078763413088124,3.495312489763114,1.565111943814057,5.575504204976323,3.012392667075714,-0.39770203853137787,3.548008908772582,4.48284006301729,2.993776056829267,4.766441775351149,3.605216818264001,9.95296985481895,4.873883823492986,4.297564173372903,6.030380924940992,-945.7495820140531,-935.445,-10.30458201405304,62.2118988824673,42.1429039412832,-20.0689949411841,2.367448648977044,2.7565253737214412,2.7995659873346623,2.6475329136065096,3.3,2024-01-25,44,0.9325513510229557,"Consumer Price Index, Monthly Treasury Statement"
2023-12-13,2023-12-31,2.6576427775513833,2.685795445711503,2.643642899029719,0.5423854880315826,2.6122711367587037,3.501116603474519,1.5381983451410397,5.575502459842618,3.082863814409764,-0.3980138202512751,3.55303736533199,4.483056193339086,3.001642219371403,4.767137374038111,3.606000288517386,9.953263393214385,4.873956005376079,4.297667651138526,6.030389911623235,-945.7549169460516,-935.445,-10.309916946051544,62.2118988824673,43.2031678982529,-19.008730984214402,2.389048526958071,2.758031158336638,2.801115696303702,2.6483782879835216,3.3,2024-01-25,43,0.910951473041929,Producer Price Index
2023-12-14,2023-12-31,2.9835679681784466,3.0582061561876372,2.946460957297803,0.5474816991792864,2.5813708369311072,3.5319375517346874,1.597696529855419,5.575784914264936,3.119451689715147,-0.6347320249080024,3.554716080312992,4.482571297613913,3.0045968288639813,4.601275220957457,3.3972697496388538,9.983529762291843,4.700006683288582,4.093539372592292,5.9174085636228835,-945.4282008661675,-935.445,-9.983200866167408,61.374783130044115,42.69596216648952,-18.678820963554593,2.61437801781248,2.9782218274612804,3.0117464155805296,2.901352024199322,3.3,2024-01-25,42,0.68562198218752,"Retail trade, Import/Export Prices"
2023-12-15,2023-12-31,3.0108334772229073,3.087554526283043,2.972691382933479,0.29547223429757796,2.5078215912053503,3.3480305900782437,1.727831461570295,5.576920643659133,2.091362037387512,-0.3399370123990608,3.555625355048564,4.481019259472996,3.006957622110029,4.692636183078136,3.4903108164514363,10.067095904712286,4.831856923986044,4.264476523460403,5.970309080562886,-945.390729352232,-935.445,-9.945729352231979,61.374783130044115,40.9864680605583,-20.388315069485813,2.5895506420714254,2.9859040159748718,3.017409069963528,2.907978838164138,3.3,2024-01-25,41,0.7104493579285744,Industrial production
2023-12-19,2023-12-31,3.0166804387711466,3.092191818547896,2.979139486834015,0.7883082077900561,3.0170350442616067,3.3880359586325737,1.8095739146097634,5.577236627184523,2.131521493449129,1.7499735956381324,3.557313248013738,4.480429882529746,3.009988510328254,4.7654721881263296,3.56907630320511,10.112726778110904,4.900374062930002,4.352388394340867,5.99967708492215,-945.5817493205708,-935.445,-10.136749320570743,61.374783130044115,40.9864680605583,-20.388315069485813,2.6797671346713736,3.076641219018672,3.1081189857655955,3.0167530735542014,3.3,2024-01-25,37,0.6202328653286262,Housing starts
2023-12-20,2023-12-31,3.016312279831168,3.09190328479485,2.978731758093689,0.7374325421914296,2.9644677803453368,3.38548024051446,1.804342187723762,5.5772166525273725,2.128970255226581,1.5277669970901409,3.5572058529485195,4.480466728012011,3.00979604992202,4.760850019609841,3.564075148495416,10.109843161538157,4.896035547118904,4.34681928920182,5.997822065645031,-945.5695727835694,-935.445,-10.124572783569306,61.374783130044115,40.9864680605583,-20.388315069485813,2.6705394259610493,3.0673602447144788,3.098933926934344,3.00572532972454,3.3,2024-01-25,36,0.6294605740389505,Existing-home sales
2023-12-22,2023-12-31,2.4256358328305527,2.5100128492664853,2.38354986789715,0.7619215140814761,2.349051516967271,3.2050310967330686,1.4444106484058805,5.44062824750724,2.181529026152629,-0.5518279390302694,3.466934695553703,4.314603172417941,2.9643525003857363,4.720444595078432,3.526643329127932,10.120750414157143,4.8858750233659265,4.309636753090551,6.051535333821323,-940.4696375411293,-930.673,-9.796637541129257,77.764,63.247574749437376,-14.51642525056262,2.2630769529830452,2.547395575424005,2.588607937696752,2.4099702013670177,3.3,2024-01-25,34,1.0369230470169546,"Advance Census manuf (M3-1), Pers Inc/PCE, NIPA underlying detail tables, New-home sales, GDP (12/21)"
2023-12-28,2023-12-31,2.4255773719468854,2.5098068861083567,2.383564944914296,-0.5730130600775318,2.6835537754935412,3.639860054540467,2.606507599105612,5.440608326741936,2.179872966539609,-0.5522407868506329,3.466863955547139,4.314618482304899,2.964230991712191,2.8586508246454034,1.2670174845835769,10.118955797733054,1.530901317006017,-0.6626307534586151,6.050387786024025,-945.4096348602358,-930.673,-14.736634860235768,77.764,47.4506911760891,-30.313308823910894,1.9105944364238292,2.493130403861321,2.6454112821334475,2.4782989316423087,3.3,2024-01-25,28,1.3894055635761706,Advance Economic Indicators
2024-01-02,2023-12-31,2.4255453204823585,2.509744668784375,2.38354793278861,-0.4164689479816186,2.8472647868296175,3.6502387250910706,2.6072231351755626,5.440611413393048,2.2238228032157803,0.12351487171342601,4.000577904662217,4.297282241563427,3.8241014068315593,2.8602231144879253,1.268735260417686,10.119839858074542,1.5318006989662347,-0.6615856120023245,6.050978420174569,-945.4172758912267,-930.673,-14.74427589122672,77.764,47.4506911760891,-30.313308823910894,2.030270210362195,2.613755433116016,2.7630002922727215,2.511688825681646,3.3,2024-01-25,23,1.2697297896378048,Construction spending
2024-01-03,2023-12-31,2.8912249636543264,3.5620791709373156,2.5576798627902297,0.5163043940077827,3.799194103352277,4.442021623049852,4.230281880014797,5.516776776349763,2.906506644063911,1.6128356445197056,4.022594554965342,4.2452572340720085,3.8901008624510736,3.8098058164277804,2.278492293864587,10.784610410002049,2.6542717275438,0.7917108534302164,6.476659348182712,-946.4575145152388,-930.673,-15.784514515238811,77.764,47.66516143364678,-30.098838566353216,2.51028412583576,3.0934804610691424,3.236400776656989,3.0764334626476098,3.3,2024-01-25,22,0.7897158741642398,ISM Manufacturing Index
