DATE,DGS10
1997-01,6.579047619047619
1997-02,6.419473684210526
1997-03,6.6945
1997-04,6.885454545454545
1997-05,6.7109523809523814
1997-06,6.493809523809524
1997-07,6.220454545454545
1997-08,6.298571428571429
1997-09,6.208571428571428
1997-10,6.029545454545455
1997-11,5.875
1997-12,5.808636363636364
1998-01,5.5445
1998-02,5.574736842105263
1998-03,5.647272727272727
1998-04,5.637619047619047
1998-05,5.6525
1998-06,5.496363636363636
1998-07,5.461363636363637
1998-08,5.341904761904762
1998-09,4.806666666666667
1998-10,4.529999999999999
1998-11,4.827368421052632
1998-12,4.645
1999-01,4.722105263157895
1999-02,4.998947368421053
1999-03,5.232608695652174
1999-04,5.184545454545455
1999-05,5.539499999999999
1999-06,5.899545454545454
1999-07,5.791904761904762
1999-08,5.9390909090909085
1999-09,5.915238095238095
1999-10,6.112
1999-11,6.034
1999-12,6.275454545454545
2000-01,6.661
2000-02,6.519499999999999
2000-03,6.256521739130435
2000-04,5.990526315789474
2000-05,6.440454545454545
2000-06,6.097272727272728
2000-07,6.054
2000-08,5.826086956521739
2000-09,5.799
2000-10,5.738571428571428
2000-11,5.717142857142857
2000-12,5.2405
2001-01,5.160952380952381
2001-02,5.098947368421053
2001-03,4.885454545454546
2001-04,5.141
2001-05,5.391363636363637
2001-06,5.284285714285714
2001-07,5.236190476190477
2001-08,4.971304347826087
2001-09,4.731764705882353
2001-10,4.566818181818181
2001-11,4.6515
2001-12,5.0875
2002-01,5.035714285714286
2002-02,4.911578947368421
2002-03,5.284000000000001
2002-04,5.210909090909091
2002-05,5.164545454545455
2002-06,4.9265
2002-07,4.653181818181818
2002-08,4.257272727272727
2002-09,3.87
2002-10,3.940909090909091
2002-11,4.048421052631579
2002-12,4.032380952380952
2003-01,4.048571428571428
2003-02,3.9026315789473687
2003-03,3.8071428571428574
2003-04,3.958571428571428
2003-05,3.5690476190476192
2003-06,3.334285714285714
2003-07,3.975454545454546
2003-08,4.4452380952380945
2003-09,4.274285714285715
2003-10,4.290454545454545
2003-11,4.300000000000001
2003-12,4.267727272727273
2004-01,4.1505
2004-02,4.084210526315789
2004-03,3.826521739130435
2004-04,4.347619047619047
2004-05,4.7155000000000005
2004-06,4.733809523809524
2004-07,4.498095238095239
2004-08,4.281363636363636
2004-09,4.1257142857142854
2004-10,4.0969999999999995
2004-11,4.194
2004-12,4.2309090909090905
2005-01,4.221500000000001
2005-02,4.165263157894737
2005-03,4.497727272727273
2005-04,4.3409523809523805
2005-05,4.144285714285714
2005-06,3.998181818181818
2005-07,4.1775
2005-08,4.262608695652174
2005-09,4.199047619047619
2005-10,4.4635
2005-11,4.535
2005-12,4.467142857142857
2006-01,4.416
2006-02,4.568947368421052
2006-03,4.7239130434782615
2006-04,4.990526315789474
2006-05,5.11
2006-06,5.106363636363636
2006-07,5.0875
2006-08,4.8765217391304345
2006-09,4.718999999999999
2006-10,4.729047619047619
2006-11,4.595238095238095
2006-12,4.5645
2007-01,4.7595238095238095
2007-02,4.722631578947369
2007-03,4.5645454545454545
2007-04,4.6938095238095245
2007-05,4.746363636363636
2007-06,5.102857142857142
2007-07,5.0042857142857144
2007-08,4.674782608695652
2007-09,4.521578947368421
2007-10,4.527727272727272
2007-11,4.1485
2007-12,4.0975
2008-01,3.744285714285714
2008-02,3.7375
2008-03,3.5100000000000002
2008-04,3.675
2008-05,3.8800000000000003
2008-06,4.099523809523809
2008-07,4.007727272727273
2008-08,3.8857142857142852
2008-09,3.6861904761904762
2008-10,3.814090909090909
2008-11,3.526666666666667
2008-12,2.4163636363636365
2009-01,2.5175
2009-02,2.87
2009-03,2.819545454545455
2009-04,2.927142857142857
2009-05,3.293
2009-06,3.7218181818181817
2009-07,3.5622727272727275
2009-08,3.587142857142857
2009-09,3.401904761904762
2009-10,3.3876190476190478
2009-11,3.4026315789473687
2009-12,3.5900000000000003
2010-01,3.7331578947368427
2010-02,3.691052631578947
2010-03,3.7273913043478264
2010-04,3.8468181818181817
2010-05,3.4200000000000004
2010-06,3.2040909090909087
2010-07,3.0114285714285716
2010-08,2.6986363636363637
2010-09,2.6476190476190475
2010-10,2.54
2010-11,2.763
2010-12,3.290909090909091
2011-01,3.3939999999999997
2011-02,3.5763157894736843
2011-03,3.4143478260869564
2011-04,3.4549999999999996
2011-05,3.168571428571429
2011-06,3.002272727272727
2011-07,3.003
2011-08,2.3030434782608693
2011-09,1.975238095238095
2011-10,2.152
2011-11,2.0134999999999996
2011-12,1.9780952380952381
2012-01,1.9665
2012-02,1.9675
2012-03,2.1727272727272724
2012-04,2.052857142857143
2012-05,1.8031818181818182
2012-06,1.6223809523809525
2012-07,1.5266666666666668
2012-08,1.6782608695652175
2012-09,1.7231578947368422
2012-10,1.7461904761904763
2012-11,1.654
2012-12,1.719
2013-01,1.9147619047619049
2013-02,1.9842105263157896
2013-03,1.9575
2013-04,1.7590909090909093
2013-05,1.9281818181818182
2013-06,2.3
2013-07,2.5822727272727275
2013-08,2.7372727272727273
2013-09,2.8095
2013-10,2.6159090909090907
2013-11,2.718421052631579
2013-12,2.901904761904762
2014-01,2.858095238095238
2014-02,2.709473684210526
2014-03,2.723333333333333
2014-04,2.705238095238095
2014-05,2.559047619047619
2014-06,2.5985714285714288
2014-07,2.5422727272727275
2014-08,2.42
2014-09,2.5342857142857143
2014-10,2.304090909090909
2014-11,2.3255555555555554
2014-12,2.2072727272727275
2015-01,1.8815000000000002
2015-02,1.9752631578947368
2015-03,2.0427272727272725
2015-04,1.935
2015-05,2.1975000000000002
